date,y_true,p_hat_oof,instrument,ret,side
2020-01-30,1,0.5640621361453361,cl1s,0.0111238973491324,-1.0
2020-01-31,1,0.5499973520495879,cl1s,0.0281225755428984,-1.0
2020-02-05,1,0.5543997626748682,cl1s,0.0039408864996626,1.0
2020-02-06,0,0.5687359431336405,cl1s,-0.0123650637691031,1.0
2020-02-07,0,0.5804240429609694,cl1s,-0.0149046103529418,1.0
2020-02-10,1,0.5746130364090323,cl1s,0.0074641920469222,1.0
2020-02-11,1,0.5595180380875908,cl1s,0.0246295553308537,1.0
2020-02-12,1,0.5661264308905041,cl1s,0.0048856753152421,1.0
2020-02-13,1,0.5757519506339148,cl1s,0.0127758420168124,1.0
2020-02-14,0,0.5775092423968857,cl1s,-0.0005733944511078,1.0
2020-02-18,1,0.5622651839963793,cl1s,0.0229489382602785,1.0
2020-02-19,1,0.5634970646814177,cl1s,0.0072910828114676,1.0
2020-02-20,0,0.5664967874392709,cl1s,-0.0092798815739472,1.0
2020-02-21,0,0.5651395843556131,cl1s,-0.0365305357570812,1.0
2020-02-24,0,0.5578602470967857,cl1s,-0.0297491737546495,1.0
2020-02-25,0,0.5446757577463452,cl1s,-0.0234468934762105,1.0
2020-02-26,0,0.5663222125541406,cl1s,-0.0336548328684591,1.0
2020-02-27,0,0.533409411480642,cl1s,-0.0494797197345852,1.0
2020-02-28,1,0.5595538230581707,cl1s,0.0444593389650116,1.0
2020-03-18,1,0.7462767044521431,cl1s,0.2438790202528529,1.0
2020-03-20,1,0.7632112617502996,cl1s,0.0322580641588965,1.0
2020-03-23,1,0.7556009858375662,cl1s,0.0278253429608277,1.0
2020-03-24,1,0.7475196220138001,cl1s,0.0199916694557964,1.0
2020-03-26,0,0.7173782631347556,cl1s,-0.0482300887036148,1.0
2020-03-27,0,0.7045085671714728,cl1s,-0.0660158063128826,1.0
2020-03-30,1,0.7169447231065228,cl1s,0.0194126424441194,1.0
2020-04-21,1,0.7430768204636247,cl1s,0.1910112349982182,1.0
2020-04-22,1,0.7574440884816571,cl1s,0.1973875204287472,1.0
2020-04-23,1,0.750832316518214,cl1s,0.0266666667197459,1.0
2020-04-24,0,0.7604193778825508,cl1s,-0.2455726098613345,1.0
